ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000171772	SYCE1	10	135367404	135382876	-1	protein_coding	93426	SYCE1	0.000763634678380383	0.039098543	0	0	7	8.62232e-06	0.000178177	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	1.817e-05	rs11599778	24
ENSG00000225899	FRG2B	10	135437399	135440299	-1	protein_coding	441581	FRG2B	0.152494211914454	-0.223558873	0	0	1	4.3686e-05	0.00563516	GTEx/v8/Brain_Cerebellum	-	8.174e-05	rs11599778	24
ENSG00000245017	RP11-181C3.1	12	98879322	98897633	-1	protein_coding	643770	NA	NA	NA	6	3.739	6	8.43517e-07	8.2858e-09	GTEx/v8/Whole_Blood:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Muscle_Skeletal	-	9.309e-06	rs4762493	26
ENSG00000120802	TMPO	12	98909290	98944157	1	protein_coding	7112	TMPO	0.000659535706594771	-0.654675506	8	4.655	1	3.26783e-06	1.935e-21	GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas	-	9.309e-06	rs4762493	26
ENSG00000204442	FAM155A	13	107820883	108519083	-1	protein_coding	728215	FAM155A	0.80041532637658	-0.284490397	1	7.493	0	NA	NA	NA	NA	5.816e-06	rs4479098	28
ENSG00000032444	PNPLA6	19	7598890	7626650	1	protein_coding	10908	PNPLA6	1.58991551414988e-08	-0.040590981	2	3.989	0	NA	NA	NA	NA	4.53e-06	rs7259351	29
ENSG00000076826	CAMSAP3	19	7660788	7683190	1	protein_coding	57662	CAMSAP3	0.999943968611488	NA	11	5.88	25	1.3977e-07	6.46601e-24	GTEx/v8/Adrenal_Gland:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	+	2.1e-06	rs7259351;rs1674033	29
ENSG00000076924	XAB2	19	7684411	7694451	-1	protein_coding	56949	XAB2	0.997070259537138	0.545498576	0	0	3	3.12138e-05	6.24554e-18	GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic	-	6.226e-06	rs7259351	29
ENSG00000229833	PET100	19	7694623	7696842	1	protein_coding	100131801	PET100	NA	0.547070872	0	0	8	1.96505e-05	0.0103566	GTEx/v8/Muscle_Skeletal	-	2.252e-06	rs7259351	29
ENSG00000174788	PCP2	19	7696497	7698634	-1	protein_coding	126006	PCP2	1.2765672414005e-05	0.674616334	0	0	26	8.2713e-09	3.02403e-49	GTEx/v8/Whole_Blood:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Thyroid	-	2.1e-06	rs7259351;rs1674033	29
ENSG00000076944	STXBP2	19	7701767	7712759	1	protein_coding	6813	STXBP2	7.76317734429722e-05	NA	0	0	29	8.11657e-09	2.74203e-42	GTEx/v8/Whole_Blood:GTEx/v8/Cells_Cultured_fibroblasts	+	2.1e-06	rs7259351;rs1674033	29
ENSG00000087460	GNAS	20	57414773	57486247	1	protein_coding	2778	GNAS	0.9995400816303	-0.610560344	1	8.515	0	NA	NA	NA	NA	4.18e-06	rs62205364	30
ENSG00000101162	TUBB1	20	57594309	57601709	1	protein_coding	81027	TUBB1	7.16532359955701e-06	-1.126579118	0	0	1	1.7753e-05	8.47397e-12	GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Thyroid	+	4.18e-06	rs62205364	30
ENSG00000124172	ATP5E	20	57600522	57607437	-1	protein_coding	514	ATP5E	0.0060568330836871	-0.603736929	0	0	1	1.63991e-05	6.4156e-08	GTEx/v8/Testis	-	4.18e-06	rs62205364	30
ENSG00000169184	MN1	22	28144265	28197486	-1	protein_coding	4330	MN1	NA	-0.882923076	0	0	19	1.03371e-07	7.3252e-06	GTEx/v8/Artery_Tibial:GTEx/v8/Muscle_Skeletal	-	8.842e-06	rs134088	31
