GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000074800	1	8921061	8939308	30	6	443093	1.5575	0.059678	ENO1
ENSG00000131686	1	9005926	9035151	131	27	443093	-0.82233	0.79456	CA6
ENSG00000197241	1	9063359	9086404	77	18	443093	-0.24421	0.59646	SLC2A7
ENSG00000142583	1	9095166	9148537	204	26	443093	-1.7002	0.95545	SLC2A5
ENSG00000180758	1	9160364	9189229	84	11	443093	-0.59728	0.72484	GPR157
ENSG00000049239	1	9294834	9331396	108	18	443093	0.18917	0.42498	H6PD
ENSG00000171621	1	9352939	9429591	367	52	443093	1.9099	0.028071	SPSB1
ENSG00000171612	1	9599541	9645237	66	10	443093	-0.26226	0.60344	SLC25A33
ENSG00000188807	1	9648932	9674935	43	8	443093	0.17262	0.43147	TMEM201
ENSG00000171608	1	9711790	9789172	145	28	443093	0.44334	0.32876	PIK3CD
ENSG00000179840	1	9712668	9714644	4	1	443093	0.91881	0.1791	C1orf200
ENSG00000171603	1	9789084	9884584	139	17	443093	0.86338	0.19396	CLSTN1
ENSG00000178585	1	9908334	9970394	74	12	443093	-0.1074	0.54276	CTNNBIP1
ENSG00000162441	1	9982173	10003465	50	9	443093	-0.87142	0.80824	LZIC
ENSG00000173614	1	10003486	10045559	85	12	443093	-0.52957	0.70179	NMNAT1
ENSG00000162444	1	10057264	10076078	43	6	443093	-0.27244	0.60736	RBP7
ENSG00000130939	1	10092890	10241297	340	18	443093	-0.25289	0.59982	UBE4B
ENSG00000054523	1	10270863	10441661	555	16	443093	-0.23609	0.59332	KIF1B
ENSG00000142657	1	10458649	10480201	52	8	443093	-0.018301	0.5073	PGD
ENSG00000175279	1	10490159	10512210	63	7	443093	1.5463	0.061021	APITD1
ENSG00000251503	1	10490159	10512210	63	7	443093	1.5463	0.061021	APITD1-CORT
ENSG00000241563	1	10509776	10511959	4	2	443093	2.1705	0.014983	CORT
ENSG00000160049	1	10516579	10532583	25	6	443093	0.86846	0.19257	DFFA
ENSG00000142655	1	10532345	10690815	417	30	443093	-0.29385	0.61556	PEX14
ENSG00000130940	1	10696661	10856707	479	85	443093	-0.26037	0.60271	CASZ1
ENSG00000175262	1	11006528	11042094	132	18	443093	-0.77982	0.78225	C1orf127
ENSG00000120948	1	11072414	11085796	23	4	443093	0.79003	0.21476	TARDBP
ENSG00000009724	1	11086580	11107290	65	8	443093	0.92659	0.17707	MASP2
ENSG00000116649	1	11114641	11120081	9	3	443093	1.025	0.15268	SRM
ENSG00000171824	1	11126675	11159938	104	6	443093	0.73152	0.23223	EXOSC10
ENSG00000198793	1	11166592	11322564	339	10	443093	0.84183	0.19994	MTOR
ENSG00000171819	1	11249398	11256038	14	2	443093	0.92571	0.1773	ANGPTL7
ENSG00000120942	1	11333263	11356106	35	5	443093	-0.45813	0.67657	UBIAD1
ENSG00000204624	1	11539223	11597641	152	15	443093	-0.31787	0.62471	PTCHD2
ENSG00000116661	1	11708424	11715842	26	14	443093	-0.25248	0.59966	FBXO2
ENSG00000132879	1	11714432	11723384	26	8	443093	0.29897	0.38248	FBXO44
ENSG00000116663	1	11724181	11734411	43	10	443093	-0.097539	0.53885	FBXO6
ENSG00000116670	1	11734537	11751707	68	14	443093	-1.722	0.95747	MAD2L2
ENSG00000162490	1	11751786	11785914	114	21	443093	-0.067921	0.52708	DRAXIN
ENSG00000177674	1	11796141	11814859	63	10	443093	0.57426	0.2829	AGTRAP
ENSG00000215910	1	11821844	11849642	164	12	443093	-0.34677	0.63562	C1orf167
ENSG00000177000	1	11845780	11866977	84	11	443093	0.13939	0.44457	MTHFR
ENSG00000011021	1	11866207	11903201	207	15	443093	0.85648	0.19587	CLCN6
ENSG00000175206	1	11905766	11908402	17	4	443093	-0.15529	0.5617	NPPA
ENSG00000116685	1	11979648	11986485	22	6	443093	-0.14989	0.55957	KIAA2013
ENSG00000083444	1	11994262	12035595	118	12	443093	0.22547	0.41081	PLOD1
ENSG00000116688	1	12040238	12073571	91	9	443093	1.8164	0.034655	MFN2
ENSG00000116691	1	12079523	12092102	23	5	443093	0.29777	0.38294	MIIP
ENSG00000120949	1	12123434	12204264	227	42	443093	0.67951	0.24841	TNFRSF8
ENSG00000028137	1	12227060	12269285	146	18	443093	-1.9531	0.9746	TNFRSF1B
ENSG00000048707	1	12290124	12572099	381	29	443093	-0.74606	0.77218	VPS13D
ENSG00000162496	1	12627939	12677737	133	30	443093	-0.69175	0.75545	DHRS3
ENSG00000204518	1	12704566	12727097	52	5	443093	-0.47884	0.68397	AADACL4
ENSG00000188984	1	12776118	12788726	15	6	443093	-1.585	0.94352	AADACL3
ENSG00000157330	1	12806163	12823847	33	7	443093	-1.2218	0.88911	C1orf158
ENSG00000116726	1	12834984	12838049	10	3	443093	1.602	0.054579	PRAMEF12
ENSG00000116721	1	12851546	12856777	23	5	443093	-0.70496	0.75958	PRAMEF1
ENSG00000204513	1	12884468	12891264	9	3	443093	-1.5021	0.93346	PRAMEF11
ENSG00000179172	1	12907261	12908578	2	1	443093	-0.60431	0.72718	HNRNPCL1
ENSG00000120952	1	12916941	12921764	9	2	443093	-2.4511	0.99288	PRAMEF2
ENSG00000204479	1	13716092	13719089	2	1	443093	1.1012	0.1354	PRAMEF17
ENSG00000162494	1	13801445	13840543	157	35	443093	0.47528	0.31729	LRRC38
ENSG00000162493	1	13909960	13944452	114	26	443093	-0.73563	0.76902	PDPN
ENSG00000116731	1	14026693	14151574	369	26	443093	2.2473	0.01231	PRDM2
ENSG00000189337	1	14925200	15444539	2016	191	443093	-0.099209	0.53951	KAZN
ENSG00000171729	1	15479028	15546976	366	25	443093	-0.22733	0.58992	TMEM51
ENSG00000204464	1	15490840	15497813	26	7	443093	0.65161	0.25733	C1orf195
ENSG00000142621	1	15573768	15726779	496	57	443093	-0.9403	0.82647	FHAD1
ENSG00000142634	1	15736391	15756839	70	20	443093	-1.7176	0.95706	EFHD2
ENSG00000162438	1	15764935	15775737	25	8	443093	-1.5438	0.93868	CTRC
ENSG00000142615	1	15783223	15798586	60	9	443093	-0.72061	0.76443	CELA2A
ENSG00000215704	1	15792404	15817895	87	14	443093	0.80593	0.21014	CELA2B
ENSG00000132906	1	15817327	15853029	136	9	443093	0.21349	0.41547	CASP9
ENSG00000116138	1	15853308	15918874	225	14	443093	0.13102	0.44788	DNAJC16
ENSG00000116771	1	15898848	15911605	59	6	443093	0.23595	0.40674	AGMAT
ENSG00000197312	1	15943995	15995539	121	6	443093	-0.23618	0.59335	DDI2
ENSG00000215695	1	15986364	15988217	3	2	443093	0.53859	0.29509	RSC1A1
ENSG00000116786	1	16010827	16061264	152	13	443093	-0.61474	0.73064	PLEKHM2
ENSG00000162461	1	16062900	16067891	6	3	443093	0.66364	0.25346	SLC25A34
ENSG00000162460	1	16068917	16074477	17	4	443093	-0.14669	0.55831	TMEM82
ENSG00000162458	1	16083102	16113089	68	11	443093	-0.17358	0.5689	FBLIM1
ENSG00000065526	1	16174359	16266955	148	17	443093	-2.1468	0.9841	SPEN
ENSG00000116809	1	16268364	16302627	55	12	443093	-1.4418	0.92532	ZBTB17
ENSG00000183888	1	16330731	16335302	17	6	443093	-0.065875	0.52626	C1orf64
ENSG00000173641	1	16340523	16346089	47	5	443093	-0.37529	0.64628	HSPB7
ENSG00000186510	1	16345370	16360545	91	12	443093	-1.1471	0.87433	CLCNKA
ENSG00000184908	1	16370272	16383803	131	14	443093	0.47431	0.31764	CLCNKB
ENSG00000185519	1	16384264	16400127	102	14	443093	0.30437	0.38042	FAM131C
ENSG00000142627	1	16450832	16482582	61	14	443093	-1.2622	0.89657	EPHA2
ENSG00000142632	1	16524349	16539104	53	5	443093	0.27742	0.39073	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	443093	0.67257	0.25061	C1orf134
ENSG00000132881	1	16558195	16563657	14	5	443093	1.5056	0.066079	RSG1
ENSG00000037637	1	16573334	16678949	235	14	443093	1.6169	0.052954	FBXO42
ENSG00000055070	1	16679070	16724640	98	11	443093	1.1463	0.12583	SZRD1
ENSG00000187144	1	16713612	16763919	132	20	443093	1.1157	0.13228	SPATA21
ENSG00000157191	1	16767167	16786573	42	9	443093	-0.887	0.81246	NECAP2
ENSG00000058453	1	17066768	17299474	283	22	443093	0.48465	0.31396	CROCC
ENSG00000117122	1	17300997	17307330	17	4	443093	-0.32624	0.62788	MFAP2
ENSG00000159363	1	17312453	17338423	53	10	443093	0.73309	0.23175	ATP13A2
ENSG00000117118	1	17345217	17380665	120	12	443093	-0.48851	0.68741	SDHB
ENSG00000117115	1	17393256	17445948	263	14	443093	-0.75956	0.77624	PADI2
ENSG00000142623	1	17531621	17572500	180	47	443093	0.11226	0.45531	PADI1
ENSG00000142619	1	17575593	17610728	168	23	443093	-1.416	0.9216	PADI3
ENSG00000159339	1	17634690	17690499	336	29	443093	-1.2522	0.89476	PADI4
ENSG00000269468	1	17655507	17676070	152	13	443093	-1.1746	0.87992	AC004824.2
ENSG00000179051	1	17733256	17766220	74	10	443093	-0.96494	0.83271	RCC2
ENSG00000074964	1	17866330	18024369	409	43	443093	0.033212	0.48675	ARHGEF10L
ENSG00000117148	1	18081808	18153558	216	24	443093	0.97288	0.16531	ACTL8
ENSG00000117154	1	18434240	18704977	1062	128	443093	-0.95335	0.82979	IGSF21
ENSG00000179023	1	18807424	18812478	26	6	443093	0.28498	0.38783	KLHDC7A
ENSG00000009709	1	18957500	19075360	400	66	443093	-0.55903	0.71193	PAX7
ENSG00000179002	1	19166093	19186176	107	19	443093	-1.7078	0.95617	TAS1R2
ENSG00000255275	1	19175767	19247615	345	39	443093	1.2756	0.10105	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	143	20	443093	1.6881	0.045696	ALDH4A1
ENSG00000169991	1	19230775	19283180	173	32	443093	1.0056	0.15731	IFFO2
ENSG00000127481	1	19401000	19536770	268	16	443093	0.43171	0.33297	UBR4
ENSG00000127463	1	19542158	19578046	106	13	443093	0.11454	0.45441	EMC1
ENSG00000053372	1	19578033	19586622	53	8	443093	0.25374	0.39985	MRTO4
ENSG00000162482	1	19609052	19615744	30	5	443093	1.2306	0.10924	AKR7A3
ENSG00000053371	1	19630459	19638640	25	9	443093	-1.7829	0.9627	AKR7A2
ENSG00000040487	1	19638820	19655794	87	12	443093	0.96603	0.16701	PQLC2
ENSG00000077549	1	19665267	19812066	541	22	443093	-0.18876	0.57486	CAPZB
ENSG00000270136	1	19923473	19984549	192	31	443093	-1.8401	0.96712	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	76	13	443093	-1.2807	0.89985	MINOS1
ENSG00000158747	1	19967048	19984945	77	23	443093	-1.9815	0.97623	NBL1
ENSG00000158748	1	19991780	20006055	43	8	443093	-0.77111	0.77968	HTR6
ENSG00000162542	1	20008706	20126438	413	54	443093	-0.20341	0.58059	TMCO4
ENSG00000178828	1	20140523	20141771	6	4	443093	0.16296	0.43528	RNF186
ENSG00000169914	1	20209006	20239438	80	14	443093	0.1427	0.44327	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	443093	-1.2915	0.90174	PLA2G2E
ENSG00000188257	1	20301925	20306932	14	6	443093	0.35649	0.36074	PLA2G2A
ENSG00000127472	1	20354672	20417683	210	24	443093	-0.30072	0.61818	PLA2G5
ENSG00000117215	1	20438432	20446050	24	9	443093	-0.046491	0.51854	PLA2G2D
ENSG00000158786	1	20465819	20476879	24	11	443093	-0.18305	0.57262	PLA2G2F
ENSG00000187980	1	20487746	20503917	55	11	443093	-0.17087	0.56784	PLA2G2C
ENSG00000162543	1	20512578	20522541	9	3	443093	0.68067	0.24804	UBXN10
ENSG00000158816	1	20617412	20681387	253	23	443093	-0.53986	0.70535	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	443093	-0.78523	0.78384	CAMK2N1
ENSG00000090432	1	20825943	20834654	25	8	443093	-0.69376	0.75609	MUL1
ENSG00000183114	1	20878932	20881512	3	1	443093	-0.035627	0.51421	FAM43B
ENSG00000158825	1	20915441	20945401	139	21	443093	-0.066984	0.5267	CDA
ENSG00000158828	1	20959948	20978004	74	10	443093	-0.0033891	0.50135	PINK1
ENSG00000244038	1	20978270	20988000	33	6	443093	0.70699	0.23979	DDOST
ENSG00000117245	1	20990507	21044510	221	45	443093	-1.1682	0.87863	KIF17
ENSG00000189410	1	21046225	21059330	36	9	443093	-0.92532	0.8226	SH2D5
ENSG00000127483	1	21069154	21113816	104	16	443093	-0.68687	0.75392	HP1BP3
ENSG00000075151	1	21132963	21503377	767	26	443093	-1.1605	0.87708	EIF4G3
ENSG00000117298	1	21543740	21671997	350	36	443093	-0.99283	0.8396	ECE1
ENSG00000142794	1	21766621	21811498	191	16	443093	-0.96048	0.83159	NBPF3
ENSG00000162551	1	21835858	21904905	317	29	443093	-0.13918	0.55535	ALPL
ENSG00000076864	1	21922708	21995801	275	38	443093	1.45	0.073523	RAP1GAP
ENSG00000090686	1	22004791	22110099	359	29	443093	1.7541	0.039704	USP48
ENSG00000187942	1	22138758	22151714	44	17	443093	-0.47083	0.68112	LDLRAD2
ENSG00000142798	1	22148738	22263790	383	36	443093	0.77142	0.22023	HSPG2
ENSG00000219073	1	22303514	22325135	238	25	443093	-0.80073	0.78835	CELA3B
ENSG00000142789	1	22328149	22339032	94	15	443093	-0.74199	0.77095	CELA3A
ENSG00000070831	1	22379120	22419437	103	14	443093	-1.7493	0.95988	CDC42
ENSG00000162552	1	22443798	22470462	91	16	443093	-2.5978	0.99531	WNT4
ENSG00000184677	1	22778344	22857650	146	17	443093	0.1457	0.44208	ZBTB40
ENSG00000070886	1	22890057	22930087	176	25	443093	-0.92178	0.82168	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	443093	-0.02615	0.51043	C1QA
ENSG00000159189	1	22970123	22974603	22	4	443093	0.23261	0.40803	C1QC
ENSG00000173369	1	22979255	22988031	26	5	443093	0.76225	0.22296	C1QB
ENSG00000133216	1	23037332	23241818	484	60	443093	-0.71289	0.76204	EPHB2
ENSG00000215906	1	23279536	23291831	38	9	443093	0.59956	0.2744	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	443093	0.09785	0.46103	C1orf234
ENSG00000004487	1	23345941	23410182	81	10	443093	0.42976	0.33368	KDM1A
ENSG00000169641	1	23410516	23504301	177	20	443093	0.81272	0.20819	LUZP1
ENSG00000179546	1	23516993	23521222	9	2	443093	-0.27112	0.60685	HTR1D
ENSG00000125944	1	23630264	23670829	38	6	443093	-1.0379	0.85035	HNRNPR
ENSG00000125945	1	23685941	23695935	27	5	443093	-0.76244	0.7771	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	443093	-0.85589	0.80397	C1orf213
ENSG00000204219	1	23707554	23751233	125	19	443093	-0.91931	0.82103	TCEA3
ENSG00000088280	1	23755056	23811061	122	14	443093	0.22848	0.40964	ASAP3
ENSG00000007968	1	23832922	23857712	52	7	443093	0.5142	0.30356	E2F2
ENSG00000117318	1	23884409	23886285	8	3	443093	1.453	0.073112	ID3
ENSG00000197880	1	23907985	23967058	121	28	443093	0.1532	0.43912	MDS2
ENSG00000142676	1	24018269	24022915	12	4	443093	-0.29881	0.61746	RPL11
ENSG00000011007	1	24069645	24088549	21	9	443093	-0.40892	0.6587	TCEB3
ENSG00000057757	1	24104895	24114722	10	5	443093	-0.00669	0.50267	PITHD1
ENSG00000011009	1	24117460	24122029	3	1	443093	-1.7437	0.9594	LYPLA2
ENSG00000117308	1	24122089	24127271	2	1	443093	0.12252	0.45124	GALE
ENSG00000117305	1	24128375	24165110	51	5	443093	-0.311	0.6221	HMGCL
ENSG00000179163	1	24171567	24194784	53	7	443093	-1.3475	0.91108	FUCA1
ENSG00000188822	1	24197016	24285549	246	16	443093	0.22852	0.40962	CNR2
ENSG00000189266	1	24285599	24289952	5	2	443093	-0.51194	0.69565	PNRC2
ENSG00000188529	1	24291294	24307417	11	4	443093	0.05749	0.47708	SRSF10
ENSG00000142661	1	24382525	24438665	198	21	443093	-0.24486	0.59672	MYOM3
ENSG00000142677	1	24446261	24469611	66	13	443093	-0.73946	0.77019	IL22RA1
ENSG00000185436	1	24480647	24514449	138	19	443093	0.44353	0.32869	IFNLR1
ENSG00000158055	1	24645812	24690972	101	22	443093	-0.37674	0.64682	GRHL3
ENSG00000001460	1	24683489	24743424	162	17	443093	-0.57068	0.71589	STPG1
ENSG00000001461	1	24742284	24799466	169	16	443093	0.18658	0.426	NIPAL3
ENSG00000117602	1	24829387	24867530	122	16	443093	1.5414	0.06161	RCAN3
ENSG00000184454	1	24882602	24935819	241	30	443093	-0.38786	0.65094	NCMAP
ENSG00000133226	1	24958207	24999758	46	8	443093	-0.59181	0.72301	SRRM1
ENSG00000169504	1	25071848	25170815	104	11	443093	-0.37786	0.64723	CLIC4
ENSG00000020633	1	25226002	25291612	137	26	443093	-0.74633	0.77227	RUNX3
ENSG00000117614	1	25549170	25558993	6	4	443093	0.48913	0.31238	SYF2
ENSG00000117616	1	25568728	25664704	116	19	443093	-0.27143	0.60697	C1orf63
ENSG00000187010	1	25598884	25656936	75	12	443093	-0.096038	0.53825	RHD
ENSG00000183726	1	25664408	25688852	28	7	443093	-0.74997	0.77336	TMEM50A
ENSG00000188672	1	25688740	25756683	98	5	443093	-1.8142	0.96517	RHCE
ENSG00000204178	1	25757388	25826700	103	4	443093	-2.1185	0.98294	TMEM57
ENSG00000157978	1	25870071	25895377	74	10	443093	-1.0913	0.86242	LDLRAP1
ENSG00000117643	1	25943959	26112698	287	23	443093	-0.26477	0.60441	MAN1C1
ENSG00000162430	1	26126667	26144713	48	5	443093	2.008	0.022322	SEPN1
ENSG00000255054	1	26137961	26150235	35	4	443093	1.9056	0.028353	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	34	3	443093	2.0082	0.022312	MTFR1L
ENSG00000223474	1	26145212	26147288	7	3	443093	1.9134	0.027847	AL020996.1
ENSG00000127423	1	26158414	26185903	70	3	443093	1.9921	0.023178	AUNIP
ENSG00000182749	1	26187701	26197744	7	2	443093	1.6235	0.052246	PAQR7
ENSG00000117632	1	26210672	26233482	32	6	443093	1.479	0.06957	STMN1
ENSG00000158006	1	26286258	26324648	95	7	443093	-1.1554	0.87603	PAFAH2
ENSG00000158008	1	26346375	26362955	26	7	443093	-0.81186	0.79156	EXTL1
ENSG00000158014	1	26363743	26372624	20	3	443093	0.6047	0.27269	SLC30A2
