# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOCC_NEURON_TO_NEURON_SYNAPSE (set)
# _SET1_  NGENES = 360
# _SET1_  P-VALUE = 1.67685e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000106089     7   73113536   73134002     43      12  65298       1.7635     0.033872    1.3323e-15       1.7635
_SET1_   ENSG00000187391     7   77646393   79082890   5765     267  70293      0.62317      0.16369    1.3323e-15      0.62317
_SET1_   ENSG00000186472     7   82383329   82792246   1264      47  70144       1.1513     0.065023    1.3323e-15       1.1513
_SET1_   ENSG00000198822     7   86273230   86494200    468      37  69083      0.55496      0.24024    1.3323e-15      0.55496
_SET1_   ENSG00000008277     7   87563458   87832204    528      25  69350     -0.71501      0.68422    1.3323e-15     -0.71501
_SET1_   ENSG00000127914     7   91570181   91739987    322       8  69819      0.94946      0.10989    1.3323e-15      0.94946
_SET1_   ENSG00000158528     7   94536514   94925727    755      32  69278      0.63965      0.18037    1.3323e-15      0.63965
_SET1_   ENSG00000091129     7  107788068  108097161   1153      49  71410    -0.096892      0.41457    1.3739e-15    -0.096892
_SET1_   ENSG00000184408     7  119913722  120390385   1007      42  71075       0.5777      0.19572    1.3323e-15       0.5777
_SET1_   ENSG00000128594     7  127667124  127672160     10       5  74219       2.1249     0.015493    1.3323e-15       2.1249
_SET1_   ENSG00000221866     7  131808091  132333447   1703     137  68480       1.3374     0.069542    1.3323e-15       1.3374
_SET1_   ENSG00000181072     7  136553416  136705002    459      35  71510     0.031065       0.4261    1.3774e-15     0.031065
_SET1_   ENSG00000157680     7  137065783  137531838   1036      75  63134       1.5515     0.041503    1.3323e-15       1.5515
_SET1_   ENSG00000164885     7  150750899  150755617     11       4  74219     -0.69088      0.73593    1.3323e-15     -0.69088
_SET1_   ENSG00000106615     7  151163098  151217206    103      12  69175       1.6752     0.035887    1.3323e-15       1.6752
_SET1_   ENSG00000198010     8    1449532    1656642   1046      50  63253     -0.45682      0.56411    1.3878e-15     -0.45682
_SET1_   ENSG00000104219     8   17013538   17082308    226      34  70112       0.7267      0.21539    1.3323e-15       0.7267
_SET1_   ENSG00000156011     8   18384811   18942240   3064     151  69317     -0.54894      0.57704    1.3323e-15     -0.54894
_SET1_   ENSG00000061337     8   20103676   20161474    235      45  70520       0.3904      0.34025    1.3878e-15       0.3904
_SET1_   ENSG00000158856     8   21906506   21940038    134      15  68148     -0.71735      0.73147    1.3323e-15     -0.71735
_SET1_   ENSG00000120899     8   27168999   27316903    426      25  71932        1.314     0.065536    1.3323e-15        1.314
_SET1_   ENSG00000254087     8   56792372   56923940    482      35  69610     -0.68249      0.69736    1.3323e-15     -0.68249
_SET1_   ENSG00000181195     8   57349233   57359293     35       7  72098     -0.44422      0.63783    1.3878e-15     -0.44422
_SET1_   ENSG00000137575     8   59465483   59495419     58       6  69050       0.8251      0.16653    1.3323e-15       0.8251
_SET1_   ENSG00000147604     8   74202506   74208024     14       6  74219        1.277     0.094495    1.3323e-15        1.277
_SET1_   ENSG00000164687     8   82192598   82197012      3       1  74219      0.12593      0.42759    1.3878e-15      0.12593
_SET1_   ENSG00000104327     8   91070836   91107703     91      12  71603      -1.9201      0.96584    1.3323e-15      -1.9201
_SET1_   ENSG00000156482     8   99037079   99058697     65      12  67131    -0.067656       0.4918    1.3739e-15    -0.067656
_SET1_   ENSG00000034677     8  101269288  101348446    142       9  71694       1.5164     0.045264    1.3323e-15       1.5164
_SET1_   ENSG00000164924     8  101928753  101965616    105      13  71126       -1.462      0.91274    1.3323e-15       -1.462
_SET1_   ENSG00000164929     8  104152938  104242533    322      36  71154      0.29736      0.34766    1.3878e-15      0.29736
_SET1_   ENSG00000104408     8  109213445  109447562    780      25  71130     -0.62825      0.62313    1.3323e-15     -0.62825
_SET1_   ENSG00000147676     8  120177273  120257913    294      31  68052        1.404     0.064429    1.3323e-15        1.404
_SET1_   ENSG00000155897     8  131792547  132054672    961      56  70707    -0.088893       0.4441    1.3739e-15    -0.088893
_SET1_   ENSG00000181790     8  143530791  143626370    250      44  63193      0.64134       0.2489    1.3323e-15      0.64134
_SET1_   ENSG00000198576     8  143692405  143696833     16       3  69580     -0.81061      0.75608    1.3323e-15     -0.81061
_SET1_   ENSG00000180900     8  144873090  144897549     73      16  69941      0.32135      0.35392    1.3878e-15      0.32135
_SET1_   ENSG00000179526     8  145153536  145163027     15       3  74219    -0.026587      0.48253    1.3774e-15    -0.026587
_SET1_   ENSG00000161016     8  146015150  146017972      6       3  71648       1.3018     0.088572    1.3323e-15       1.3018
_SET1_   ENSG00000106688     9    4490444    4587469    379      43  69746      0.67844      0.22025    1.3323e-15      0.67844
_SET1_   ENSG00000153707     9    8314246   10612723  11082     469  68243       2.0987    0.0069439    1.3323e-15       2.0987
_SET1_   ENSG00000107186     9   13105703   13279589    270      27  71299     -0.69438      0.71886    1.3323e-15     -0.69438
_SET1_   ENSG00000147955     9   34634719   34637806      7       3  74219       1.0804      0.13077    1.3323e-15       1.0804
_SET1_   ENSG00000107362     9   74477368   74525847     44       9  69443     -0.72398      0.74451    1.3323e-15     -0.72398
_SET1_   ENSG00000148053     9   87283466   87638505   1001      69  70498     -0.22509      0.51646    1.3878e-15     -0.22509
_SET1_   ENSG00000196730     9   90112143   90323548    821      74  70738      0.59661      0.23756    1.3323e-15      0.59661
_SET1_   ENSG00000185920     9   98205262   98279339    177      20  67809       2.0918     0.013977    1.3323e-15       2.0918
_SET1_   ENSG00000198785     9  104331635  104500862    696      28  71165     -0.94966      0.75126    1.3323e-15     -0.94966
_SET1_   ENSG00000197958     9  130209953  130213684      7       1  74219   -0.0085245      0.45136    1.3774e-15   -0.0085245
_SET1_   ENSG00000107130     9  132934857  132999583    259      31  70170    -0.097494      0.50283    1.3739e-15    -0.097494
_SET1_   ENSG00000165699     9  135766735  135820020    113      16  72112     -0.97375       0.8126    1.3323e-15     -0.97375
_SET1_   ENSG00000176884     9  140032842  140063207     62      14  61145     -0.58072      0.69148    1.3323e-15     -0.58072
_SET1_   ENSG00000165802     9  140342022  140353786     19       9  61030     -0.46993      0.66678    1.3878e-15     -0.46993
_SET1_   ENSG00000077943    10   15555948   15762124    639      44  70573     -0.27484      0.53986    1.3878e-15     -0.27484
_SET1_   ENSG00000165985    10   16555742   16564004     36       8  71729      -1.1329      0.85396    1.3323e-15      -1.1329
_SET1_   ENSG00000136754    10   27035522   27150016    375      20  71777      -0.5387      0.63297    1.3323e-15      -0.5387
_SET1_   ENSG00000150093    10   33189247   33294720    305      28  72475     -0.97577       0.8033    1.3323e-15     -0.97577
_SET1_   ENSG00000198739    10   68685764   68859588    496      44  70002     -0.72018      0.72133    1.3323e-15     -0.72018
_SET1_   ENSG00000151208    10   79550549   79686378    410      18  71678       -1.573      0.91081    1.3323e-15       -1.573
_SET1_   ENSG00000182771    10   87359312   88126250   2473     141  70421     -0.71874      0.64802    1.3323e-15     -0.71874
_SET1_   ENSG00000171862    10   89622870   89731687    142      31  71300      0.77667      0.21508    1.3323e-15      0.77667
_SET1_   ENSG00000107864    10   93806449   94050844    361      19  69541      0.48847      0.24359    1.3878e-15      0.48847
_SET1_   ENSG00000059915    10  104162376  104181296     24       9  71769     -0.66709      0.73399    1.3323e-15     -0.66709
_SET1_   ENSG00000107954    10  105253736  105352309    278      33  70669       3.7767   5.4222e-05    1.3323e-15       3.7767
_SET1_   ENSG00000156395    10  106400859  107024993   1938      50  70859       3.4293   3.6422e-05    1.3323e-15       3.4293
_SET1_   ENSG00000148700    10  111756126  111895323    209      24  70594      0.29603      0.35043    1.3878e-15      0.29603
_SET1_   ENSG00000150594    10  112836790  112840658      6       3  74219     -0.52372      0.69109    1.3323e-15     -0.52372
_SET1_   ENSG00000107581    10  120794356  120840316     73      10  68370     -0.95352      0.80087    1.3323e-15     -0.95352
_SET1_   ENSG00000188916    10  128933694  128994422    133      16  68871       2.3607    0.0067506    1.3323e-15       2.3607
_SET1_   ENSG00000176171    10  133781578  133795435     31       7  73721       2.4405    0.0059623    1.3323e-15       2.4405
_SET1_   ENSG00000197177    10  134884433  134945179    330      44  61797      0.61871      0.24451    1.3323e-15      0.61871
_SET1_   ENSG00000170743    11    7260009    7490273    991      85  70888     -0.96213      0.79829    1.3323e-15     -0.96213
_SET1_   ENSG00000110680    11   14988214   14993900      7       4  74219      -2.1273      0.98258    1.3323e-15      -2.1273
_SET1_   ENSG00000110700    11   17095936   17099334      7       3  72015      -1.5986      0.93772    1.3323e-15      -1.5986
_SET1_   ENSG00000148943    11   27516123   27528320     17       4  63844     -0.91599      0.79179    1.3323e-15     -0.91599
_SET1_   ENSG00000148948    11   40135753   41481323   3929     188  70669     -0.18728      0.43316    1.3878e-15     -0.18728
_SET1_   ENSG00000134569    11   46878419   46940193    128      15  66824       2.3748    0.0065656    1.3323e-15       2.3748
_SET1_   ENSG00000109991    11   57105848   57138073     95      12  71125     -0.77971      0.74791    1.3323e-15     -0.77971
_SET1_   ENSG00000198561    11   57520715   57587018     93      14  68332       2.3665    0.0067865    1.3323e-15       2.3665
_SET1_   ENSG00000011347    11   61282785   61348620    108      15  71157      0.16238      0.41896    1.3878e-15      0.16238
_SET1_   ENSG00000134780    11   61447905   61514473    138      20  71397     -0.12853      0.51596    1.3878e-15     -0.12853
_SET1_   ENSG00000162188    11   62475130   62476673      2       1  66506     0.095111      0.47792    1.3739e-15     0.095111
_SET1_   ENSG00000168539    11   62676151   62689279     32      10  69098       0.8442      0.19046    1.3323e-15       0.8442
_SET1_   ENSG00000133318    11   63448918   63527363    108      14  66258      0.97587      0.14172    1.3323e-15      0.97587
_SET1_   ENSG00000174871    11   66045661   66052772      9       5  70791      -2.2783      0.98781    1.3323e-15      -2.2783
_SET1_   ENSG00000173621    11   66624118   66627946      2       1  74219       1.8096     0.031676    1.3323e-15       1.8096
_SET1_   ENSG00000173227    11   66774249   66818334     52      19  67917       1.9494     0.025571    1.3323e-15       1.9494
_SET1_   ENSG00000162105    11   70313961   70963623   2025     140  68951      -1.5824       0.9123    1.3323e-15      -1.5824
_SET1_   ENSG00000149273    11   75110530   75133324     42      10  61253     -0.65485      0.71622    1.3323e-15     -0.65485
_SET1_   ENSG00000150672    11   83166055   85338966   6540     189  70285        1.338     0.043288    1.3323e-15        1.338
_SET1_   ENSG00000168959    11   88237744   88799113   1869      45  70606      -1.8784      0.90986    1.3323e-15      -1.8784
_SET1_   ENSG00000087053    11   95566046   95658479    253      19  71518      0.71532      0.19281    1.3323e-15      0.71532
_SET1_   ENSG00000152578    11  105480721  105852819    830      40  66716       1.2967     0.059102    1.3323e-15       1.2967
_SET1_   ENSG00000109846    11  111779289  111794446     22       6  69443     -0.75317      0.75042    1.3323e-15     -0.75317
_SET1_   ENSG00000149295    11  113280318  113346413    182      25  72842       2.8843    0.0015017    1.3323e-15       2.8843
_SET1_   ENSG00000182985    11  115039938  115375675    624      48  70456      0.43772      0.27641    1.3878e-15      0.43772
_SET1_   ENSG00000186318    11  117156402  117186975     76      21  68892       1.0307      0.14321    1.3323e-15       1.0307
_SET1_   ENSG00000118181    11  118886422  118889401     14       2  65820      0.07316      0.41903    1.3739e-15      0.07316
_SET1_   ENSG00000110400    11  119494120  119599794    272      34  69921     -0.56769      0.68389    1.3323e-15     -0.56769
_SET1_   ENSG00000149403    11  120382468  120859613   1494     142  71066      0.32193      0.34834    1.3878e-15      0.32193
_SET1_   ENSG00000154146    11  124609742  124617106     12       3  74219        2.677    0.0028856    1.3323e-15        2.677
_SET1_   ENSG00000134909    11  128834955  129149219    824      27  69672       1.3548     0.047376    1.3323e-15       1.3548
_SET1_   ENSG00000080854    11  133778459  133826880    148      26  67655      -0.0342      0.48559    1.3739e-15      -0.0342
_SET1_   ENSG00000120645    12     175931     287626    452      61  67641     -0.55205      0.69249    1.3323e-15     -0.55205
_SET1_   ENSG00000151067    12    2079952    2802108   2239     180  68435     -0.35017       0.5356    1.3878e-15     -0.35017
_SET1_   ENSG00000111642    12    6679249    6716642     88       9  66344       -1.922      0.96405    1.3323e-15       -1.922
_SET1_   ENSG00000215021    12    7074490    7079988      7       3  72015      0.30033      0.37256    1.3878e-15      0.30033
_SET1_   ENSG00000139182    12    7282294    7311541     58       9  71926      -1.9097      0.96529    1.3323e-15      -1.9097
_SET1_   ENSG00000273079    12   13693165   14133053   1466      94  72051      0.16667      0.34644    1.3878e-15      0.16667
_SET1_   ENSG00000151490    12   15475331   15750333    707      60  66942       1.3192     0.072616    1.3323e-15       1.3192
_SET1_   ENSG00000151491    12   15773092   16035263    266      41  68697     -0.45352      0.66418    1.3878e-15     -0.45352
_SET1_   ENSG00000052126    12   19282648   19529334    667      35  71872       1.3106     0.064965    1.3323e-15       1.3106
_SET1_   ENSG00000050438    12   51785101   51902980    277      19  69361     -0.66415      0.68831    1.3323e-15     -0.66415
_SET1_   ENSG00000161835    12   52400724   52409673     20      10  67568       1.0425       0.1429    1.3323e-15       1.0425
_SET1_   ENSG00000197111    12   53835525   53874946     43      12  68032     -0.53633       0.6843    1.3323e-15     -0.53633
_SET1_   ENSG00000155974    12   66741211   67197966   1597     102  69761      -1.0309      0.78354    1.3323e-15      -1.0309
_SET1_   ENSG00000067715    12   79257773   79845788   1506      75  69500       1.2469     0.059881    1.3323e-15       1.2469
_SET1_   ENSG00000111052    12   81186299   81331704    434      28  71867     -0.42809      0.59958    1.3878e-15     -0.42809
_SET1_   ENSG00000136040    12   94542499   94701451    589      62  70810     -0.21443        0.552    1.3878e-15     -0.21443
_SET1_   ENSG00000185046    12   99120235  100378432   3394     180  69799     -0.01339      0.36736    1.3774e-15     -0.01339
_SET1_   ENSG00000089009    12  112842994  112856642     17       7  56927    -0.053452      0.50197    1.3739e-15    -0.053452
_SET1_   ENSG00000089250    12  117645947  117889975    731      61  70050       1.9316     0.019176    1.3323e-15       1.9316
